Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65ee0a5ee612d11cfcb8e824,5f3483c9be9b7c3a6d9c2d79,APPROVED,Not Applicable,2024-03-10T19:30:48.781000Z,2024-03-10T19:38:51.098000Z,2024-03-10T19:38:56.847000Z,2024-03-10T19:38:51.906453Z,483.0,C107BK71,818,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
65ee0a5fd4b632b7fb7a313f,5a5df549f6c5170001952b40,APPROVED,Not Applicable,2024-03-10T19:30:44.090000Z,2024-03-10T19:51:55.869000Z,2024-03-10T19:51:56.605000Z,2024-03-10T19:51:56.893505Z,1272.0,C107BK71,630,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65ee0a60a6328372037abb23,628f6f85d192d1fee0014ef0,APPROVED,Not Applicable,2024-03-10T19:30:47.146000Z,2024-03-10T19:40:35.339000Z,2024-03-10T19:45:10.861000Z,2024-03-10T19:46:01.481587Z,589.0,C107BK71,631,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65ee0a622b12d78ff456d7b9,56dcbfb12ab7ff000cbabc49,APPROVED,Not Applicable,2024-03-10T19:30:48.296000Z,2024-03-10T19:42:36.171000Z,2024-03-10T19:45:26.571000Z,2024-03-10T20:47:01.495950Z,708.0,C107BK71,2400,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ee0a62c76a5d7285c0d381,5a8703fa17ef35000170998a,APPROVED,Not Applicable,2024-03-10T19:30:52.453000Z,2024-03-10T19:44:16.247000Z,2024-03-10T19:45:39.832000Z,2024-03-10T19:46:19.813500Z,804.0,C107BK71,984,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65ee0a62d65420e3db041ad0,613e7bf4ae5857b728674b91,APPROVED,Not Applicable,2024-03-10T19:30:46.356000Z,2024-03-10T19:37:58.737000Z,2024-03-10T19:38:17.341000Z,2024-03-10T19:37:59.621581Z,433.0,C107BK71,761,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
65ee0a6307f486606b1c97e4,5f293c15eb08390426e90f65,APPROVED,Not Applicable,2024-03-10T19:30:48.983000Z,2024-03-10T19:46:51.888000Z,2024-03-10T19:51:50.619000Z,2024-03-10T19:46:55.207901Z,963.0,C107BK71,248,36,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ee0a63a6328372037abb26,6111309539bbf74914182dda,APPROVED,Not Applicable,2024-03-10T19:30:48.606000Z,2024-03-10T19:35:08.456000Z,2024-03-14T13:21:12.867000Z,2024-03-10T19:35:09.255810Z,260.0,C107BK71,1408,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ee0a646250720f071c69dc,5b1d867ac9d3cb000110529a,APPROVED,Not Applicable,2024-03-10T19:30:44.892000Z,2024-03-10T19:46:40.967000Z,2024-03-10T20:47:01.421000Z,2024-03-10T19:46:53.102673Z,957.0,C107BK71,1482,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65ee0a64fdf900c69d89fdfe,56f28d3aed0cf6000691111e,APPROVED,Not Applicable,2024-03-10T19:30:49.894000Z,2024-03-10T19:41:35.195000Z,2024-03-10T19:45:16.215000Z,2024-03-10T19:46:07.024477Z,646.0,C107BK71,2352,70,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
