Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65afed8dfdc7e83e07466d28,56278536ddff3c0005bcdad9,APPROVED,2024-01-23T16:47:13.717000Z,2024-01-23T17:01:45.686000Z,2024-01-23T17:01:51.339000Z,2024-01-23T17:01:46.888042Z,872.0,C107BK71,2025,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65afed9327c7081d2c33bdc2,5d17a2c94d7eea00170c3aca,APPROVED,2024-01-23T16:47:18.320000Z,2024-01-23T16:53:38.390000Z,2024-01-23T16:53:39.191000Z,2024-01-23T16:53:39.733071Z,381.0,C107BK71,1317,26,Male,Mixed,United States,United States,United States,English,No,Full-Time,
65afedb32ac78916931071f1,5eee623e39386710454df7ad,APPROVED,2024-01-23T16:47:54.353000Z,2024-01-23T17:05:56.418000Z,2024-01-23T17:05:57.235000Z,2024-01-23T17:05:57.723628Z,1083.0,C107BK71,427,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
65afedb70e656408c6d9b63c,5a511002eedc32000141fec4,APPROVED,2024-01-23T16:48:00.390000Z,2024-01-23T16:58:21.726000Z,2024-01-23T16:58:22.501000Z,2024-01-23T16:58:23.072380Z,622.0,C107BK71,671,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time,
65afedbb8714c0960cb18e7f,659ae6a42d0a1e716be57a4f,APPROVED,2024-01-23T16:48:01.922000Z,2024-01-23T17:16:12.047000Z,2024-01-23T17:16:12.639000Z,2024-01-23T17:16:13.158558Z,1691.0,C107BK71,8,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month,
65afedbfa14c6004d83fcfc6,5dd33b9159b1b033ec2cf634,APPROVED,2024-01-23T16:48:04.971000Z,2024-01-23T16:58:52.088000Z,2024-01-23T16:58:52.956000Z,2024-01-23T16:58:53.307682Z,648.0,C107BK71,2668,42,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,
65afedc1bc7010b3a1c87156,6036a2f8ca97af126e1e0706,APPROVED,2024-01-23T16:48:06.312000Z,2024-01-23T17:01:11.243000Z,2024-01-23T17:01:11.880000Z,2024-01-23T17:01:12.356047Z,785.0,C107BK71,1046,32,Male,White,United States,United States,United States,English,No,Full-Time,
65afedc55b0b469287b1723c,6506fbe6edeb6f40776a82d3,APPROVED,2024-01-23T16:48:05.188000Z,2024-01-23T16:56:19.744000Z,2024-01-23T16:56:20.262000Z,2024-01-23T16:56:20.593484Z,495.0,C107BK71,255,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),
65afedce728aa4f172f9618c,5f4153c1ec3a660ca3fc96ac,RETURNED,2024-01-23T16:48:14.704000Z,,,2024-03-01T10:21:35.004604Z,,,467,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65afedddce1b63d3783fd7df,5ffdf62d9169a23d1edaceab,APPROVED,2024-01-23T16:48:37.943000Z,2024-01-23T16:56:07.096000Z,2024-01-23T16:56:07.851000Z,2024-01-23T16:56:08.343199Z,450.0,C107BK71,2706,39,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
65afeddf21d1234444a29038,596bc31ae2a6a700014ca930,APPROVED,2024-01-23T16:48:36.338000Z,2024-01-23T16:58:08.480000Z,2024-01-23T16:58:09.445000Z,2024-01-23T16:58:10.036288Z,573.0,C107BK71,745,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
65afede0a93ccb92f95a09a8,58bd6fb131de840001e84778,APPROVED,2024-01-23T16:48:32.975000Z,2024-01-23T16:59:52.940000Z,2024-01-23T16:59:53.496000Z,2024-01-23T16:59:53.850180Z,680.0,C107BK71,1803,70,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,
65afedf7163bb9c17bb42c05,5f25e8f8e4d6b414e499c7c5,APPROVED,2024-01-23T16:50:24.167000Z,2024-01-23T16:58:32.677000Z,2024-01-23T16:58:35.956000Z,2024-01-23T16:58:33.848670Z,489.0,C107BK71,1520,30,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65afedfd22c3742648272010,60455000d49d6a65940e6ab4,APPROVED,2024-01-23T16:49:06.636000Z,2024-01-23T16:55:10.085000Z,2024-01-23T16:55:10.816000Z,2024-01-23T16:55:11.345817Z,364.0,C107BK71,416,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65afee0e99eaa70fa8fa41fa,65afeab8c7c336dcf6ca08f3,APPROVED,2024-01-23T16:49:38.120000Z,2024-01-23T17:04:54.579000Z,2024-01-23T17:04:55.142000Z,2024-01-23T17:04:55.543506Z,917.0,C107BK71,0,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
65afee0eb234be93f55d432b,6111b4dd6f6ac03b5e1a44ba,RETURNED,2024-01-23T16:49:24.809000Z,2024-01-23T16:59:12.329000Z,,2024-03-01T10:21:35.007884Z,,C1BH0PQA,1638,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65afee7ae306631f393f2cbc,5c618c3e821b4e000130d1a6,APPROVED,2024-01-23T16:51:11.043000Z,2024-01-23T16:57:43.808000Z,2024-01-23T16:57:44.494000Z,2024-01-23T16:57:45.037000Z,393.0,C107BK71,1245,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time,
65afef04ef7bfb28a0e67ca8,5ee40dd0acca5a0f22f19a03,APPROVED,2024-01-23T16:53:30.090000Z,2024-01-23T17:01:45.689000Z,2024-01-23T17:01:46.258000Z,2024-01-23T17:01:46.826633Z,496.0,C107BK71,398,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65afef501495d63af4c9ff2f,62fb90429c2152a93ae5fdbd,APPROVED,2024-01-23T16:54:44.117000Z,2024-01-23T17:00:14.350000Z,2024-01-23T17:00:14.947000Z,2024-01-23T17:00:15.359565Z,331.0,C107BK71,777,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time,
65afef7553f7c027df838f1b,616677b2ef09033990006a79,APPROVED,2024-01-23T16:55:20.385000Z,2024-01-23T17:06:06.536000Z,2024-01-23T17:06:07.089000Z,2024-01-23T17:06:07.332503Z,647.0,C107BK71,313,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65aff750099088b02992f250,5ea1b9b07b0f2508e3f7b36e,APPROVED,2024-01-23T17:28:52.314000Z,2024-01-23T17:38:55.822000Z,2024-01-23T17:38:56.421000Z,2024-01-23T17:38:56.921326Z,604.0,C107BK71,33,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,
65aff7b708a1f4caeabe3fe9,5904ba7144ed04000162594e,APPROVED,2024-01-23T17:30:37.901000Z,2024-01-23T17:47:15.088000Z,2024-01-23T17:47:15.811000Z,2024-01-23T17:47:16.296300Z,998.0,C107BK71,636,42,Female,Other,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65aff7b9e7920e4ade46c3e5,634d76cccd09d8bfe5061cc3,APPROVED,2024-01-23T17:30:39.668000Z,2024-01-23T17:36:59.758000Z,2024-01-23T17:37:00.444000Z,2024-01-23T17:37:00.750779Z,381.0,C107BK71,419,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
65aff7ba12a956356e2e7fce,5b126ec7c85dc400016220a4,TIMED-OUT,2024-01-23T17:30:39.675000Z,,,2024-03-01T10:21:35.009798Z,3257456.0,,1962,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time,Not Applicable
65aff7bb4e0e79e470b686e9,571a428ec97ad400123ad82d,APPROVED,2024-01-23T17:30:53.121000Z,2024-01-23T17:38:03.837000Z,2024-01-23T17:38:04.565000Z,2024-01-23T17:38:05.091092Z,431.0,C107BK71,395,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,
65aff7bcc7fe7aada66fe60d,63256d20df6b6b817e5211a6,APPROVED,2024-01-23T17:30:40.218000Z,2024-01-23T17:37:30.452000Z,2024-01-23T17:37:31.190000Z,2024-01-23T17:37:31.721242Z,411.0,C107BK71,31,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED,
65affb302c8428efd4c281dd,62e3f7b224ec70641fd86b7b,APPROVED,2024-01-23T17:45:23.940000Z,2024-01-23T17:53:14.045000Z,2024-01-23T17:53:14.643000Z,2024-01-23T17:53:15.146369Z,471.0,C107BK71,973,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),
65afffcc1dededdfaa5e5db4,645d03acd1302079adbc39f9,APPROVED,2024-01-23T18:05:05.839000Z,2024-01-23T18:15:44.017000Z,2024-01-23T18:15:44.969000Z,2024-01-23T18:15:45.526456Z,639.0,C107BK71,526,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
65b002315944d6875d775330,5da09f733c3367001a72dec6,RETURNED,2024-01-23T18:15:22.356000Z,2024-01-23T18:23:14.614000Z,,2024-03-01T10:21:35.022176Z,,C1BH0PQA,939,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65b0f49f79f88172995a12fd,58b99fcaf814e400015249bc,APPROVED,2024-01-24T11:29:47.952000Z,2024-01-24T11:36:49.923000Z,2024-01-24T11:36:50.606000Z,2024-01-24T11:36:51.004509Z,422.0,C107BK71,1531,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time,Not Applicable
65b0f52d41c68b89d2c824c7,649f33141cd841f85c7bb76d,APPROVED,2024-01-24T11:32:03.669000Z,2024-01-24T11:43:41.647000Z,2024-01-24T11:43:42.292000Z,2024-01-24T11:43:42.681414Z,698.0,C107BK71,222,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65b0f532e708b43eead74d4c,5dea957163c5791b1b6cc231,APPROVED,2024-01-24T11:32:08.378000Z,2024-01-24T11:39:56.282000Z,2024-01-24T11:39:57.197000Z,2024-01-24T11:39:57.562061Z,468.0,C107BK71,398,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,Not Applicable
65b0f5356e510d8a2e3fe530,58da3fe533fef3000118b22c,APPROVED,2024-01-24T11:32:11.230000Z,2024-01-24T12:13:32.692000Z,2024-01-24T12:13:33.327000Z,2024-01-24T12:13:33.729190Z,2482.0,C107BK71,1066,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
65b0f538680fe2914b4be121,62ebd08bd6729790ced8587f,APPROVED,2024-01-24T11:32:16.818000Z,2024-01-24T11:43:02.682000Z,2024-01-24T11:43:03.632000Z,2024-01-24T11:43:04.680712Z,646.0,C107BK71,595,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,Not Applicable
65b0f5847f38566ab22023b8,5cc8460597eba7001990ead8,RETURNED,2024-01-24T11:33:30.092000Z,2024-01-24T11:35:15.264000Z,,2024-03-01T10:21:35.030039Z,,C1BH0PQA,994,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65b0f592b9e08254a6685faa,5f5bb3d2d66aea33b1f131c3,APPROVED,2024-01-24T11:33:42.693000Z,2024-01-24T11:39:40.670000Z,2024-01-24T11:39:41.269000Z,2024-01-24T11:39:41.735550Z,358.0,C107BK71,758,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
65b0f5c39ef8420bc9d74eb5,615eda024a5f84f408625b4f,RETURNED,2024-01-24T11:34:56.753000Z,2024-01-24T11:36:16.309000Z,2024-01-24T13:51:28.421000Z,2024-03-01T10:21:35.036967Z,,C1BH0PQA,1184,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65b0f5cfc4f880cc1418481b,59c67a2b21454d000194c0e3,APPROVED,2024-01-24T11:34:44.443000Z,2024-01-24T11:43:31.699000Z,2024-01-24T11:43:32.325000Z,2024-01-24T11:43:32.762338Z,528.0,C107BK71,1232,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time,Not Applicable
